vehicle_type,type_code,capacity_kg,weight_kg,distance_km,mileage_kmpl,cost_per_km,health_score,available,utility
heavy-truck,0,10000.0,3316.012209963657,606.2125478177028,5.21,19.6,51.3,1.0,0.674822705557824
tempo,2,1200.0,671.0394591844829,100.86640201196289,14.91,3.5,67.8,1.0,0.8946319332399734
heavy-truck,0,10000.0,7388.314347589116,71.6591076983979,5.06,35.14,79.4,1.0,0.5455172734703093
mini-truck,1,5000.0,3561.18595350571,222.12729003694108,8.29,21.15,45.7,1.0,0.6622256893198377
heavy-truck,0,10000.0,2940.5206465468186,209.35094373895112,5.66,33.77,92.3,1.0,0.6894276456970891
delivery-van,3,800.0,461.2069808274389,681.8952090064361,12.88,2.29,82.5,0.0,0.8406891136772374
heavy-truck,0,10000.0,5087.718512697116,272.0285574486418,5.42,26.73,51.1,1.0,0.6420591838097016
tempo,2,1200.0,441.7702611658856,281.89384036492925,13.2,4.55,54.1,1.0,0.8977213507315369
mini-truck,1,5000.0,1340.128532320806,132.07898592359493,7.68,15.25,89.2,1.0,0.7223124954831583
delivery-van,3,800.0,348.12897941933267,560.975193083589,11.88,1.75,98.2,1.0,0.7600426522826575
heavy-truck,0,10000.0,7550.889868786593,346.0800541828639,4.69,28.16,84.3,1.0,0.5964693623177466
tempo,2,1200.0,251.18311938519145,487.2185018785481,14.7,2.45,99.7,0.0,0.778104688363799
heavy-truck,0,10000.0,9119.44534116706,658.7457199630633,5.37,18.7,60.5,0.0,0.5360401001959466
delivery-van,3,800.0,535.4254176003567,252.57732165326345,12.71,2.79,46.8,0.0,0.7061926364593101
delivery-van,3,800.0,328.72688855285685,419.7563291064907,11.1,2.7,97.4,1.0,0.9343218691808717
mini-truck,1,5000.0,4462.110568438388,381.27727416328327,6.7,17.37,57.0,1.0,0.6103755212899952
heavy-truck,0,10000.0,8950.788762878354,586.3532433554753,4.93,16.42,98.6,1.0,0.7358329831736308
delivery-van,3,800.0,256.55614513953674,369.06682604552714,13.35,1.47,62.0,0.0,0.8179154745759182
tempo,2,1200.0,994.8241522173894,625.9802552096859,12.58,3.54,83.2,0.0,0.7749635187595302
tempo,2,1200.0,199.63716192265954,533.4177376631014,14.94,5.15,52.9,0.0,0.7407743670823177
mini-truck,1,5000.0,2061.387583109324,283.08484734426906,8.45,9.37,64.4,1.0,0.7719801891699483
tempo,2,1200.0,632.2327738126595,529.5059425312835,11.98,3.7,48.5,1.0,0.7691554870751683
delivery-van,3,800.0,237.18495781060386,278.3742001693372,10.85,2.72,81.8,1.0,0.9038397104588798
delivery-van,3,800.0,384.37269140081963,562.7566550446559,12.19,3.46,60.0,1.0,0.8619029883444367
delivery-van,3,800.0,650.2837700304718,617.6912063522532,13.73,2.38,53.5,1.0,0.8355698315873679
heavy-truck,0,10000.0,7636.853023797521,239.5170858066175,4.67,31.5,69.2,1.0,0.5300822031945819
mini-truck,1,5000.0,2271.668012553566,309.14234062784556,7.95,11.81,63.2,1.0,0.8075190586937919
mini-truck,1,5000.0,3669.6170033995613,194.5896473426562,8.48,20.88,50.4,1.0,0.7558578660509129
mini-truck,1,5000.0,1676.510217652041,205.05062826775406,6.51,16.32,54.4,1.0,0.779699166174703
tempo,2,1200.0,1253.540614136688,329.3947186927569,14.21,4.95,54.8,1.0,0.7845761312792594
mini-truck,1,5000.0,4062.817595103088,301.7257790867311,7.52,18.39,90.7,1.0,0.8079552364578673
heavy-truck,0,10000.0,4094.4067295724662,221.52129277304687,5.31,27.08,83.2,0.0,0.46441734118653466
heavy-truck,0,10000.0,1948.0762511122466,578.7816098745385,5.53,18.43,76.7,1.0,0.6690291660029178
delivery-van,3,800.0,548.0592639990127,177.50129878714787,13.01,3.3,77.0,1.0,0.9437120592431243
heavy-truck,0,10000.0,3191.1138220070297,355.81152752445945,5.05,18.06,71.8,1.0,0.8058392633038538
mini-truck,1,5000.0,4131.588654164829,437.1077501208989,8.32,17.69,94.2,1.0,0.7571583183322821
heavy-truck,0,10000.0,2070.165794390009,154.50408016515416,5.7,36.86,98.3,1.0,0.5749128125134901
tempo,2,1200.0,435.3057927126324,239.56391161974423,14.39,4.29,54.5,1.0,0.9402647759056946
heavy-truck,0,10000.0,6492.853995982194,576.813910924037,4.95,34.73,75.8,1.0,0.6313956707634956
heavy-truck,0,10000.0,4245.483032385114,517.871630440007,4.83,43.38,48.2,1.0,0.4489108969835646
mini-truck,1,5000.0,3310.434232158814,408.7737606527597,7.31,19.79,83.2,1.0,0.7555862662595242
tempo,2,1200.0,760.2858807318042,364.4573603740068,15.39,2.75,94.0,1.0,0.923400159606853
tempo,2,1200.0,1239.25430680325,294.82673967279106,15.93,4.45,50.9,1.0,0.8260327927783864
mini-truck,1,5000.0,3450.97308066668,224.24507704931807,7.79,21.37,90.4,1.0,0.7285394861227393
tempo,2,1200.0,371.792191588447,509.94952544866135,14.17,5.08,82.6,0.0,0.8128040755373842
heavy-truck,0,10000.0,5957.99876002919,391.2115360372295,5.06,40.98,87.4,1.0,0.5029667443462718
delivery-van,3,800.0,505.1043601388317,139.37853693244102,11.07,1.87,77.4,1.0,0.9110393641208707
tempo,2,1200.0,1080.0005281745528,460.7478538662232,12.06,3.83,83.6,1.0,0.8759232242202197
delivery-van,3,800.0,688.919083337142,374.11236518396197,11.91,3.12,80.7,1.0,0.9111637096461892
delivery-van,3,800.0,567.2979519343052,664.8956844046653,13.31,3.18,81.7,1.0,0.9479019952900949
tempo,2,1200.0,695.879295871042,289.52603300044706,12.86,1.95,93.9,1.0,0.9132606454540433
delivery-van,3,800.0,787.1934229687009,493.3403621763538,12.01,2.13,47.2,1.0,0.9694301231888287
heavy-truck,0,10000.0,5816.55291105527,580.9287358081338,5.17,26.98,79.3,1.0,0.5727135079616563
delivery-van,3,800.0,371.02586101319207,255.2560693015687,10.98,1.96,68.8,1.0,0.8984766023891879
delivery-van,3,800.0,178.7907391536364,495.6874825609969,11.03,1.47,92.4,1.0,0.956224230040751
mini-truck,1,5000.0,4126.535540379746,344.98169296104504,7.1,8.43,56.3,1.0,0.7583005442710725
mini-truck,1,5000.0,1856.4189378375468,184.12976720347132,8.12,16.31,70.0,1.0,0.7905011111268714
mini-truck,1,5000.0,2525.653519395484,297.30977426647775,6.95,9.76,76.0,1.0,0.7248307313548357
tempo,2,1200.0,748.7004850184734,550.5878317717347,13.29,2.53,84.2,1.0,0.9883435680247987
mini-truck,1,5000.0,2808.307795733021,170.8706403061342,7.84,14.6,79.4,1.0,0.7782793734451683
mini-truck,1,5000.0,1115.8935702461406,97.54199550564628,7.56,19.69,65.4,1.0,0.5886290386842183
tempo,2,1200.0,1045.8981551400045,580.0516426284777,12.86,3.52,60.2,1.0,0.8788644970688564
tempo,2,1200.0,735.1314067553603,652.7538864542012,12.81,4.86,94.9,1.0,0.9492532787479386
heavy-truck,0,10000.0,3132.6642366173273,138.70209552991975,4.3,30.11,47.8,1.0,0.6065031190270996
mini-truck,1,5000.0,2527.640533417119,610.1491544774864,6.86,13.66,94.8,1.0,0.7615662364184309
mini-truck,1,5000.0,3671.839215990686,196.2768221911477,7.15,20.05,78.0,1.0,0.7216233029938549
tempo,2,1200.0,921.2302891053866,406.18042011979696,12.59,5.02,87.0,1.0,0.9517014872693605
delivery-van,3,800.0,418.52485553557915,645.3665267019601,12.1,2.66,65.8,1.0,0.958178384588991
heavy-truck,0,10000.0,6109.887093058506,248.65424045320088,5.58,20.01,69.1,1.0,0.6871079011291423
mini-truck,1,5000.0,1270.2419632987317,130.15132564381736,7.08,14.24,48.3,1.0,0.7009294652323868
tempo,2,1200.0,599.0854553368366,592.0078097489671,15.18,2.63,46.3,1.0,0.8673799894352806
tempo,2,1200.0,551.4530816258027,142.66911321302132,14.63,3.75,73.5,0.0,0.8531000941814851
mini-truck,1,5000.0,1151.782817635543,628.4616224530998,6.64,18.85,52.8,1.0,0.7352683247923213
delivery-van,3,800.0,758.037435291479,609.3791116095096,12.75,2.88,72.2,0.0,0.7104503055247551
mini-truck,1,5000.0,2176.868663365137,538.1571868086819,6.89,19.36,58.8,1.0,0.7167886384258138
tempo,2,1200.0,523.6262016464681,304.38152439139964,13.05,3.01,50.8,1.0,0.9116030706009831
heavy-truck,0,10000.0,10133.320155960879,668.0457734472712,5.14,35.9,77.1,0.0,0.2386797215935091
mini-truck,1,5000.0,1126.3823600345404,243.38026076288244,7.35,17.21,65.9,1.0,0.7714884869782674
delivery-van,3,800.0,361.4121561514041,66.69761023346098,11.3,3.14,87.1,1.0,0.9524128660012677
heavy-truck,0,10000.0,9040.700176880087,309.1936987406366,5.21,24.67,70.6,1.0,0.5957662412214662
mini-truck,1,5000.0,2929.8449319743795,620.105902865323,8.05,9.39,83.9,1.0,0.855834632325134
delivery-van,3,800.0,418.6249812937105,322.21062318007733,13.59,1.73,61.6,1.0,0.9710148879170604
heavy-truck,0,10000.0,7468.202344841748,224.23930247954922,5.51,41.55,69.8,1.0,0.4176356615299287
tempo,2,1200.0,651.5706643004997,117.83426782255859,14.06,4.61,61.0,1.0,0.8882609055888425
heavy-truck,0,10000.0,3755.6811740670896,173.63385917439325,4.71,30.57,63.9,1.0,0.5880448086528947
mini-truck,1,5000.0,4875.823785234077,406.0069524587267,7.34,11.44,86.6,1.0,0.7446174901994487
delivery-van,3,800.0,316.6771114621065,641.060348551786,12.1,1.53,64.4,1.0,0.8345623522805363
tempo,2,1200.0,1233.5223831000726,634.380356449281,14.14,4.14,94.1,0.0,0.6625508612175464
delivery-van,3,800.0,256.93438140967294,551.0930876195333,12.29,2.02,83.2,0.0,0.707668732612558
heavy-truck,0,10000.0,4881.523950724427,600.8612803986396,4.4,18.27,62.6,1.0,0.6136990806248672
mini-truck,1,5000.0,4208.841841848379,224.98046185381924,7.04,17.59,57.3,1.0,0.626382767185545
heavy-truck,0,10000.0,3032.7244770633565,656.8566548626521,4.69,25.54,72.2,1.0,0.5923897827142417
tempo,2,1200.0,569.6927343794727,106.75683333625607,12.06,2.67,63.8,1.0,0.9338601378457803
delivery-van,3,800.0,342.54454529727985,175.99681745295948,12.66,2.52,99.8,1.0,0.9914318652979154
tempo,2,1200.0,652.4322761927818,413.6323649550134,13.12,4.17,50.6,1.0,0.9166307393778919
heavy-truck,0,10000.0,5819.822886114668,173.5968582784961,5.1,16.37,92.0,1.0,0.6548568530360201
heavy-truck,0,10000.0,9896.50450417112,675.1630893729526,5.74,31.9,46.3,0.0,0.4320348002016074
tempo,2,1200.0,641.4394005397728,573.5267719157251,16.01,2.09,93.4,1.0,1.0
heavy-truck,0,10000.0,8181.794694753144,115.16073581257842,4.99,28.59,95.8,1.0,0.6558382519171033
tempo,2,1200.0,258.35072098495954,110.831014144388,12.85,3.75,63.9,0.0,0.7821970596637828
mini-truck,1,5000.0,2300.5194187777183,606.5383595602436,8.15,9.72,69.8,0.0,0.7100034169859031
mini-truck,1,5000.0,1338.6455490597605,248.0043504604078,7.83,16.98,78.4,0.0,0.6030266457473131
tempo,2,1200.0,1173.1737100863934,544.1945753343889,14.84,2.78,49.8,1.0,0.9709849606975368
tempo,2,1200.0,470.59118853229484,208.11069000292207,13.55,3.73,98.0,0.0,0.8350049203707683
mini-truck,1,5000.0,1635.778377402401,296.3916746375571,6.68,15.46,45.5,1.0,0.6675068747406152
tempo,2,1200.0,907.3308119984702,672.4086168255731,12.06,2.91,93.3,1.0,0.8710508296307776
mini-truck,1,5000.0,2779.254499106788,583.543953223326,8.1,12.74,57.9,1.0,0.7754446135776659
heavy-truck,0,10000.0,3354.9068158408413,206.77686594678931,4.81,36.96,64.3,0.0,0.29545134024103675
heavy-truck,0,10000.0,4387.821338019045,555.9367168376162,4.74,31.51,84.5,1.0,0.5886363066960896
tempo,2,1200.0,874.947460157067,164.43384259568836,13.6,5.1,76.6,1.0,0.8568741176764907
heavy-truck,0,10000.0,3830.041364055152,456.7656946669631,4.76,38.62,53.9,1.0,0.4476297348175698
heavy-truck,0,10000.0,2352.4269157863832,544.2363766994459,5.69,37.44,80.3,0.0,0.41075256778311464
mini-truck,1,5000.0,4531.740529649362,284.0699361281542,6.51,8.43,53.2,1.0,0.711953523871314
tempo,2,1200.0,1108.401150622514,560.3378978692697,12.27,4.28,85.8,1.0,0.8923097003550552
heavy-truck,0,10000.0,7380.819495367975,188.02667325813317,5.16,19.07,83.4,1.0,0.6739394089920006
tempo,2,1200.0,1193.7234993561085,63.211944714258834,13.97,4.06,51.9,1.0,0.9572626933733464
tempo,2,1200.0,246.00494660645714,85.16402842787002,14.54,3.6,67.2,1.0,0.914416058602518
mini-truck,1,5000.0,3484.771581305592,509.708812861314,7.43,11.59,45.9,1.0,0.7325111346795915
heavy-truck,0,10000.0,10399.31692039016,337.1812598198379,5.03,35.04,49.7,1.0,0.39421382016917705
tempo,2,1200.0,855.3169114672378,330.26570457807105,12.34,3.88,45.4,1.0,0.8736409358298096
heavy-truck,0,10000.0,2756.8143664838076,534.4922207192017,4.27,36.48,58.7,1.0,0.5390595414451204
tempo,2,1200.0,415.14987011000136,527.4550164809654,12.75,4.15,96.3,1.0,0.9205790986146385
heavy-truck,0,10000.0,7500.3853029072,698.682447139298,4.58,19.42,86.8,1.0,0.6527289256093736
delivery-van,3,800.0,724.1201202583777,628.0924268016429,10.49,2.59,73.0,1.0,0.798773502271232
heavy-truck,0,10000.0,4487.46352570139,407.3237234039278,5.54,20.23,57.3,1.0,0.662838404224903
delivery-van,3,800.0,674.1032679560723,291.7027957907993,10.93,1.72,99.6,0.0,0.803515500446562
tempo,2,1200.0,722.6932069382723,484.06534517512443,12.22,2.26,52.5,1.0,0.9467314326470759
heavy-truck,0,10000.0,8663.584366799589,420.5550167845431,5.29,28.42,54.4,1.0,0.5208346782019734
delivery-van,3,800.0,784.0873824906525,673.2372349284996,11.22,2.27,78.7,1.0,0.9047835423045755
delivery-van,3,800.0,302.67266735277883,512.4290120293718,13.61,3.11,67.1,1.0,0.9518698911724683
mini-truck,1,5000.0,2968.958014568086,234.27170461936493,7.08,20.48,62.7,1.0,0.6612020220894621
heavy-truck,0,10000.0,6120.10289337364,216.61306713301877,4.88,35.55,95.2,1.0,0.5209954244618434
delivery-van,3,800.0,525.3825392382428,539.856394137915,11.99,1.82,52.4,1.0,0.8818174888000597
heavy-truck,0,10000.0,7334.845080812667,448.59905584454503,4.72,21.38,71.6,1.0,0.709080315865862
heavy-truck,0,10000.0,10301.681366773742,169.16116830436124,5.39,33.77,73.9,1.0,0.512405609097452
delivery-van,3,800.0,833.0199317941757,239.0682702266929,10.85,3.41,52.0,1.0,0.7549299996423846
tempo,2,1200.0,1185.2526892023,355.2802316411668,12.62,2.8,48.9,1.0,0.836813778300494
heavy-truck,0,10000.0,5188.079022209557,498.8023634790872,4.26,23.65,86.4,1.0,0.6650090449963448
heavy-truck,0,10000.0,5495.707125246251,499.94698754845626,4.64,27.97,63.8,1.0,0.5839455917750843
