vehicle_type,type_code,distance_km,weight_kg,load_ratio,mileage_kmpl,fuel_l
tempo,2,520.9,694.0,0.58,12.21,50.45
delivery-van,3,85.8,273.0,0.34,10.36,9.48
tempo,2,738.7,917.0,0.76,14.63,61.81
mini-truck,1,122.6,2139.0,0.43,7.43,17.8
mini-truck,1,677.8,3070.0,0.61,8.46,92.81
heavy-truck,0,512.8,9955.0,1.0,5.23,116.18
mini-truck,1,533.3,4417.0,0.88,8.09,78.15
heavy-truck,0,78.5,5584.0,0.56,4.78,18.73
delivery-van,3,468.6,547.0,0.68,12.86,38.79
tempo,2,342.4,280.0,0.23,13.71,26.96
heavy-truck,0,604.8,3778.0,0.38,5.85,116.73
heavy-truck,0,483.3,2250.0,0.22,4.66,106.2
tempo,2,489.4,651.0,0.54,14.0,39.61
delivery-van,3,522.8,734.0,0.92,13.62,46.54
mini-truck,1,539.4,3729.0,0.75,7.4,89.22
tempo,2,322.9,1181.0,0.98,14.78,29.43
mini-truck,1,381.6,2047.0,0.41,8.48,53.6
mini-truck,1,516.4,2271.0,0.45,8.17,68.02
tempo,2,511.7,295.0,0.25,15.91,34.19
tempo,2,341.5,1076.0,0.9,16.25,26.15
tempo,2,205.1,712.0,0.59,13.53,17.63
heavy-truck,0,95.1,9428.0,0.94,5.52,22.09
heavy-truck,0,97.9,2100.0,0.21,5.04,20.52
delivery-van,3,711.7,535.0,0.67,10.26,84.35
tempo,2,322.9,398.0,0.33,14.47,23.71
heavy-truck,0,74.7,8471.0,0.85,5.5,16.6
delivery-van,3,610.5,606.0,0.76,10.68,64.52
delivery-van,3,321.5,439.0,0.55,10.77,33.19
tempo,2,216.8,1180.0,0.98,14.69,18.18
tempo,2,681.8,1009.0,0.84,13.13,62.17
tempo,2,464.7,573.0,0.48,14.91,35.29
delivery-van,3,682.0,511.0,0.64,13.81,57.47
mini-truck,1,204.4,1297.0,0.26,6.39,36.94
delivery-van,3,318.5,664.0,0.83,12.06,33.77
delivery-van,3,481.3,412.0,0.51,14.0,39.37
tempo,2,337.8,736.0,0.61,14.8,25.9
mini-truck,1,742.3,4782.0,0.96,8.16,119.51
mini-truck,1,326.9,3169.0,0.63,8.23,47.95
heavy-truck,0,698.7,2959.0,0.3,5.64,142.05
delivery-van,3,377.5,697.0,0.87,12.08,36.85
mini-truck,1,221.5,1596.0,0.32,6.44,37.43
delivery-van,3,518.4,284.0,0.35,13.59,37.81
heavy-truck,0,357.2,7423.0,0.74,5.46,79.64
tempo,2,686.9,285.0,0.24,16.43,48.26
tempo,2,423.5,1049.0,0.87,13.15,39.02
heavy-truck,0,677.0,5842.0,0.58,4.88,159.01
heavy-truck,0,235.2,3122.0,0.31,5.03,53.11
delivery-van,3,740.6,712.0,0.89,12.89,68.04
heavy-truck,0,558.0,4020.0,0.4,4.5,130.88
tempo,2,517.7,493.0,0.41,16.17,36.87
delivery-van,3,302.2,588.0,0.74,13.4,26.36
mini-truck,1,58.0,1933.0,0.39,6.55,9.95
mini-truck,1,382.3,4113.0,0.82,8.34,55.52
tempo,2,515.6,626.0,0.52,16.43,36.03
tempo,2,639.0,971.0,0.81,16.24,47.19
mini-truck,1,436.0,1836.0,0.37,6.47,71.76
delivery-van,3,542.0,431.0,0.54,11.73,54.45
heavy-truck,0,359.5,9231.0,0.92,4.76,92.46
heavy-truck,0,563.1,6474.0,0.65,4.86,129.17
delivery-van,3,239.7,494.0,0.62,13.98,20.54
heavy-truck,0,699.7,5578.0,0.56,5.8,133.09
tempo,2,614.8,492.0,0.41,14.75,48.22
tempo,2,99.7,493.0,0.41,12.74,8.87
heavy-truck,0,284.7,2836.0,0.28,5.62,54.77
tempo,2,616.9,524.0,0.44,13.61,51.28
delivery-van,3,214.6,748.0,0.93,13.4,21.03
delivery-van,3,461.9,404.0,0.51,12.83,43.1
heavy-truck,0,463.8,9830.0,0.98,4.41,131.39
delivery-van,3,671.4,312.0,0.39,12.19,61.32
tempo,2,348.9,401.0,0.33,11.96,30.5
heavy-truck,0,603.6,2730.0,0.27,4.77,134.92
mini-truck,1,197.4,2301.0,0.46,6.97,32.39
tempo,2,547.3,249.0,0.21,13.27,45.71
heavy-truck,0,563.0,4494.0,0.45,4.74,129.22
delivery-van,3,694.1,772.0,0.97,11.56,71.73
mini-truck,1,196.6,2270.0,0.45,7.31,31.71
tempo,2,493.9,722.0,0.6,11.97,47.6
mini-truck,1,281.9,2857.0,0.57,6.57,45.86
tempo,2,263.8,524.0,0.44,16.45,17.8
tempo,2,587.6,949.0,0.79,12.35,57.57
heavy-truck,0,666.0,3601.0,0.36,5.81,128.63
mini-truck,1,341.9,3137.0,0.63,7.4,55.36
tempo,2,259.3,740.0,0.62,15.01,19.98
heavy-truck,0,106.2,4455.0,0.45,5.74,21.05
mini-truck,1,63.4,3883.0,0.78,8.54,8.31
mini-truck,1,92.6,3125.0,0.63,7.37,14.13
heavy-truck,0,318.5,4352.0,0.44,4.45,77.7
delivery-van,3,183.1,624.0,0.78,11.92,18.86
delivery-van,3,663.9,634.0,0.79,11.85,65.74
mini-truck,1,142.3,3756.0,0.75,8.19,19.33
mini-truck,1,705.3,4055.0,0.81,7.49,112.04
tempo,2,724.5,400.0,0.33,12.18,62.84
delivery-van,3,502.3,198.0,0.25,11.34,49.98
heavy-truck,0,377.8,6672.0,0.67,4.61,102.53
tempo,2,128.1,950.0,0.79,12.41,12.34
heavy-truck,0,112.7,2249.0,0.22,5.08,23.16
delivery-van,3,245.0,381.0,0.48,12.62,22.9
delivery-van,3,729.5,721.0,0.9,10.96,85.55
tempo,2,687.2,830.0,0.69,16.41,50.21
tempo,2,258.8,679.0,0.57,15.25,19.66
tempo,2,200.2,1050.0,0.88,15.75,16.19
tempo,2,654.2,904.0,0.75,12.42,57.58
mini-truck,1,307.7,3472.0,0.69,8.33,43.42
mini-truck,1,262.3,2615.0,0.52,7.84,38.24
delivery-van,3,705.5,363.0,0.45,10.94,73.46
delivery-van,3,477.3,311.0,0.39,12.95,37.17
tempo,2,642.9,907.0,0.76,16.14,46.27
delivery-van,3,692.8,755.0,0.94,14.14,62.6
tempo,2,415.0,935.0,0.78,15.62,34.94
tempo,2,175.1,906.0,0.76,13.59,16.09
tempo,2,560.2,815.0,0.68,15.82,40.52
heavy-truck,0,681.1,3426.0,0.34,4.44,165.16
mini-truck,1,709.2,2047.0,0.41,6.67,125.34
tempo,2,56.6,629.0,0.52,13.91,4.25
heavy-truck,0,399.1,5634.0,0.56,4.56,103.59
mini-truck,1,475.2,4449.0,0.89,7.28,82.35
heavy-truck,0,452.7,6253.0,0.63,5.55,86.97
mini-truck,1,232.7,2480.0,0.5,8.63,30.0
heavy-truck,0,534.1,3331.0,0.33,5.2,107.24
tempo,2,373.5,574.0,0.48,15.61,26.25
mini-truck,1,654.8,4567.0,0.91,7.21,115.47
tempo,2,574.9,688.0,0.57,12.61,46.71
delivery-van,3,610.9,538.0,0.67,10.23,71.25
mini-truck,1,478.8,2690.0,0.54,8.19,65.3
delivery-van,3,508.4,508.0,0.63,10.56,53.39
delivery-van,3,594.5,222.0,0.28,11.33,58.3
heavy-truck,0,357.6,4961.0,0.5,5.41,79.15
heavy-truck,0,108.0,8927.0,0.89,5.74,23.72
tempo,2,550.2,781.0,0.65,12.07,54.85
tempo,2,517.8,824.0,0.69,12.87,49.34
delivery-van,3,672.7,621.0,0.78,11.16,74.65
tempo,2,260.9,991.0,0.83,12.65,24.47
heavy-truck,0,418.7,3044.0,0.3,4.74,95.0
heavy-truck,0,685.4,9102.0,0.91,5.0,153.76
heavy-truck,0,568.0,4268.0,0.43,4.84,143.01
tempo,2,287.0,751.0,0.63,16.05,21.16
tempo,2,425.1,922.0,0.77,13.25,36.45
delivery-van,3,243.3,609.0,0.76,11.13,24.96
delivery-van,3,552.9,571.0,0.71,12.51,49.87
heavy-truck,0,318.5,3095.0,0.31,5.52,56.3
tempo,2,261.9,915.0,0.76,13.15,25.64
heavy-truck,0,560.6,6723.0,0.67,5.9,106.61
tempo,2,585.3,324.0,0.27,14.11,42.78
heavy-truck,0,371.3,5978.0,0.6,4.36,94.14
heavy-truck,0,336.7,9079.0,0.91,5.17,80.35
heavy-truck,0,167.0,2717.0,0.27,5.58,32.32
tempo,2,114.6,409.0,0.34,15.73,8.49
mini-truck,1,391.3,3135.0,0.63,6.65,66.28
delivery-van,3,486.4,731.0,0.91,10.23,59.53
delivery-van,3,158.6,218.0,0.27,10.47,16.54
tempo,2,695.9,1016.0,0.85,14.22,60.86
delivery-van,3,452.3,602.0,0.75,11.89,43.68
mini-truck,1,452.9,3233.0,0.65,7.22,76.0
tempo,2,479.7,366.0,0.3,15.89,31.51
heavy-truck,0,530.4,5269.0,0.53,5.14,118.31
delivery-van,3,415.9,233.0,0.29,12.32,35.63
tempo,2,672.8,616.0,0.51,15.86,53.19
tempo,2,451.6,1166.0,0.97,15.3,37.38
tempo,2,58.8,572.0,0.48,14.55,4.64
tempo,2,104.0,267.0,0.22,15.47,6.83
tempo,2,464.2,590.0,0.49,14.9,34.72
heavy-truck,0,356.4,2561.0,0.26,4.28,89.72
mini-truck,1,363.0,4447.0,0.89,8.43,52.84
tempo,2,277.3,1035.0,0.86,13.92,21.96
mini-truck,1,454.3,4954.0,0.99,8.09,70.99
mini-truck,1,443.1,4867.0,0.97,7.69,70.46
mini-truck,1,191.8,3545.0,0.71,7.7,27.35
mini-truck,1,162.2,4583.0,0.92,8.51,22.21
mini-truck,1,404.7,1307.0,0.26,7.57,56.88
mini-truck,1,232.7,1807.0,0.36,7.89,32.51
mini-truck,1,633.0,4364.0,0.87,7.19,108.71
mini-truck,1,132.5,2722.0,0.54,7.19,19.28
delivery-van,3,279.8,227.0,0.28,14.11,21.96
heavy-truck,0,283.1,8295.0,0.83,5.01,69.21
heavy-truck,0,168.1,8939.0,0.89,4.72,43.35
mini-truck,1,441.1,2688.0,0.54,8.62,60.44
mini-truck,1,576.6,3717.0,0.74,8.09,80.71
delivery-van,3,411.5,730.0,0.91,13.65,37.05
delivery-van,3,203.2,670.0,0.84,10.8,24.32
