vehicle_id,vehicle_type,type_code,age_months,odometer_km,km_since_service,service_interval_km,avg_daily_km,typical_load_ratio,mileage_kmpl,km_to_service,health_score
v000,heavy-truck,0,20.0,152872.0,40012.0,20000,254.8,0.39,5.0,-20012.0,71.4
v001,tempo,2,72.0,283130.0,8074.0,8000,131.1,0.66,14.0,-74.0,92.6
v002,mini-truck,1,87.0,450196.0,35967.0,12000,172.5,0.68,7.5,-23967.0,68.7
v003,heavy-truck,0,127.0,368461.0,59984.0,20000,96.7,0.49,5.0,-39984.0,50.7
v004,tempo,2,105.0,47250.0,23964.0,8000,15.0,0.61,14.0,-15964.0,76.7
v005,heavy-truck,0,34.0,214156.0,19958.0,20000,210.0,0.48,5.0,42.0,82.2
v006,tempo,2,8.0,24868.0,16026.0,8000,103.6,0.55,14.0,-8026.0,85.5
v007,mini-truck,1,116.0,727422.0,12030.0,12000,209.0,0.76,7.5,-30.0,82.5
v008,delivery-van,3,10.0,33628.0,10053.0,10000,112.1,0.54,12.0,-53.0,93.7
v009,delivery-van,3,42.0,137449.0,10010.0,10000,109.1,0.63,12.0,-10.0,91.4
v010,mini-truck,1,20.0,119314.0,35976.0,12000,198.9,0.46,7.5,-23976.0,74.1
v011,heavy-truck,0,89.0,454457.0,19975.0,20000,170.2,0.65,5.0,25.0,82.3
v012,mini-truck,1,111.0,761146.0,12004.0,12000,228.6,0.91,7.5,-4.0,73.8
v013,mini-truck,1,67.0,424476.0,23948.0,12000,211.2,0.39,7.5,-11948.0,75.8
v014,tempo,2,54.0,280731.0,8071.0,8000,173.3,0.75,14.0,-71.0,85.9
v015,delivery-van,3,119.0,404005.0,29988.0,10000,113.2,0.62,12.0,-19988.0,70.1
v016,mini-truck,1,103.0,608524.0,12009.0,12000,196.9,0.45,7.5,-9.0,75.2
v017,delivery-van,3,72.0,171762.0,29947.0,10000,79.5,0.73,12.0,-19947.0,82.4
v018,heavy-truck,0,24.0,72273.0,39897.0,20000,100.4,0.42,5.0,-19897.0,71.6
v019,heavy-truck,0,110.0,544894.0,39992.0,20000,165.1,0.43,5.0,-19992.0,68.8
v020,heavy-truck,0,43.0,202409.0,20086.0,20000,156.9,0.69,5.0,-86.0,77.7
v021,delivery-van,3,89.0,325461.0,29947.0,10000,121.9,0.44,12.0,-19947.0,77.1
v022,delivery-van,3,62.0,92562.0,20022.0,10000,49.8,0.51,12.0,-10022.0,81.1
v023,delivery-van,3,13.0,5850.0,29957.0,10000,15.0,0.71,12.0,-19957.0,82.4
v024,tempo,2,79.0,475381.0,23915.0,8000,200.6,0.6,14.0,-15915.0,77.1
v025,tempo,2,91.0,327067.0,15992.0,8000,119.8,0.41,14.0,-7992.0,75.8
v026,tempo,2,44.0,64523.0,23967.0,8000,48.9,0.89,14.0,-15967.0,81.9
v027,heavy-truck,0,91.0,424163.0,59984.0,20000,155.4,0.76,5.0,-39984.0,56.3
v028,tempo,2,97.0,403989.0,8029.0,8000,138.8,0.39,14.0,-29.0,84.2
v029,delivery-van,3,36.0,63095.0,20034.0,10000,58.4,0.88,12.0,-10034.0,88.3
v030,tempo,2,17.0,46135.0,23928.0,8000,90.5,0.86,14.0,-15928.0,85.2
v031,mini-truck,1,108.0,760896.0,11981.0,12000,234.8,0.65,7.5,19.0,78.3
v032,heavy-truck,0,20.0,113310.0,20016.0,20000,188.8,0.39,5.0,-16.0,84.3
v033,delivery-van,3,105.0,420673.0,20020.0,10000,133.5,0.42,12.0,-10020.0,78.8
v034,delivery-van,3,56.0,103554.0,29996.0,10000,61.6,0.81,12.0,-19996.0,68.4
v035,tempo,2,94.0,145633.0,16059.0,8000,51.6,0.45,14.0,-8059.0,77.4
v036,heavy-truck,0,49.0,262562.0,59994.0,20000,178.6,0.72,5.0,-39994.0,61.4
v037,heavy-truck,0,113.0,716953.0,20035.0,20000,211.5,0.88,5.0,-35.0,68.3
v038,mini-truck,1,121.0,582991.0,35931.0,12000,160.6,0.75,7.5,-23931.0,69.6
v039,tempo,2,34.0,69963.0,23919.0,8000,68.6,0.75,14.0,-15919.0,79.6
v040,heavy-truck,0,51.0,306450.0,39938.0,20000,200.3,0.65,5.0,-19938.0,71.9
v041,mini-truck,1,14.0,103769.0,23986.0,12000,247.1,0.91,7.5,-11986.0,85.0
v042,tempo,2,65.0,101615.0,15975.0,8000,52.1,0.37,14.0,-7975.0,83.5
v043,heavy-truck,0,64.0,469886.0,39988.0,20000,244.7,0.91,5.0,-19988.0,69.3
v044,delivery-van,3,104.0,543104.0,29986.0,10000,174.1,0.5,12.0,-19986.0,71.6
v045,tempo,2,6.0,2700.0,7947.0,8000,15.0,0.57,14.0,53.0,91.3
v046,delivery-van,3,86.0,179556.0,19984.0,10000,69.6,0.6,12.0,-9984.0,92.0
v047,heavy-truck,0,96.0,469182.0,59992.0,20000,162.9,0.43,5.0,-39992.0,57.1
v048,mini-truck,1,51.0,222020.0,23883.0,12000,145.1,0.7,7.5,-11883.0,77.5
v049,tempo,2,93.0,244262.0,7966.0,8000,87.5,0.38,14.0,34.0,85.7
v050,delivery-van,3,73.0,514919.0,30006.0,10000,235.1,0.88,12.0,-20006.0,74.2
v051,delivery-van,3,120.0,508385.0,29964.0,10000,141.2,0.47,12.0,-19964.0,71.8
v052,delivery-van,3,55.0,116635.0,9992.0,10000,70.7,0.39,12.0,8.0,87.3
v053,mini-truck,1,28.0,121815.0,35959.0,12000,145.0,0.85,7.5,-23959.0,74.9
v054,heavy-truck,0,38.0,228497.0,39979.0,20000,200.4,0.93,5.0,-19979.0,77.3
v055,heavy-truck,0,85.0,296084.0,20088.0,20000,116.1,0.58,5.0,-88.0,81.3
v056,tempo,2,17.0,42369.0,15982.0,8000,83.1,0.51,14.0,-7982.0,86.1
v057,heavy-truck,0,34.0,177024.0,59970.0,20000,173.6,0.72,5.0,-39970.0,63.2
v058,tempo,2,26.0,145006.0,7960.0,8000,185.9,0.82,14.0,40.0,92.2
v059,delivery-van,3,119.0,344887.0,19975.0,10000,96.6,0.76,12.0,-9975.0,71.9
v060,heavy-truck,0,52.0,418144.0,59982.0,20000,268.0,0.58,5.0,-39982.0,55.8
v061,tempo,2,52.0,170790.0,15983.0,8000,109.5,0.62,14.0,-7983.0,81.9
v062,heavy-truck,0,69.0,280186.0,39970.0,20000,135.4,0.44,5.0,-19970.0,69.7
v063,delivery-van,3,45.0,194888.0,29949.0,10000,144.4,0.74,12.0,-19949.0,75.9
v064,tempo,2,80.0,230771.0,23993.0,8000,96.2,0.64,14.0,-15993.0,73.4
v065,mini-truck,1,126.0,664139.0,12066.0,12000,175.7,0.87,7.5,-66.0,80.8
v066,heavy-truck,0,78.0,655415.0,40007.0,20000,280.1,0.78,5.0,-20007.0,59.4
v067,heavy-truck,0,26.0,108163.0,60011.0,20000,138.7,0.63,5.0,-40011.0,65.9
v068,delivery-van,3,118.0,347180.0,9946.0,10000,98.1,0.93,12.0,54.0,80.3
v069,delivery-van,3,45.0,94528.0,10012.0,10000,70.0,0.42,12.0,-12.0,92.2
v070,heavy-truck,0,22.0,111823.0,20076.0,20000,169.4,0.62,5.0,-76.0,84.6
v071,delivery-van,3,66.0,256630.0,29994.0,10000,129.6,0.48,12.0,-19994.0,78.1
v072,delivery-van,3,42.0,160760.0,19963.0,10000,127.6,0.36,12.0,-9963.0,88.0
v073,tempo,2,63.0,252009.0,8062.0,8000,133.3,0.79,14.0,-62.0,88.2
v074,heavy-truck,0,124.0,872680.0,60004.0,20000,234.6,0.5,5.0,-40004.0,50.1
v075,delivery-van,3,23.0,34061.0,19986.0,10000,49.4,0.7,12.0,-9986.0,83.8
v076,tempo,2,103.0,210964.0,7954.0,8000,68.3,0.45,14.0,46.0,86.9
v077,mini-truck,1,66.0,244279.0,24033.0,12000,123.4,0.73,7.5,-12033.0,80.1
v078,delivery-van,3,120.0,470079.0,19958.0,10000,130.6,0.89,12.0,-9958.0,75.2
v079,delivery-van,3,41.0,108397.0,19968.0,10000,88.1,0.72,12.0,-9968.0,88.3
v080,delivery-van,3,126.0,56700.0,9976.0,10000,15.0,0.76,12.0,24.0,85.6
v081,heavy-truck,0,125.0,353839.0,20031.0,20000,94.4,0.63,5.0,-31.0,74.1
v082,heavy-truck,0,82.0,467761.0,59980.0,20000,190.1,0.45,5.0,-39980.0,52.8
v083,delivery-van,3,88.0,321539.0,9957.0,10000,121.8,0.38,12.0,43.0,79.9
v084,mini-truck,1,115.0,365076.0,35956.0,12000,105.8,0.9,7.5,-23956.0,68.0
v085,heavy-truck,0,120.0,574216.0,59947.0,20000,159.5,0.65,5.0,-39947.0,51.1
v086,delivery-van,3,8.0,27968.0,19978.0,10000,116.5,0.73,12.0,-9978.0,83.3
v087,mini-truck,1,128.0,407838.0,36007.0,12000,106.2,0.82,7.5,-24007.0,63.1
v088,tempo,2,62.0,152298.0,7988.0,8000,81.9,0.51,14.0,12.0,84.1
v089,tempo,2,124.0,491920.0,8046.0,8000,132.2,0.62,14.0,-46.0,87.0
v090,mini-truck,1,80.0,535533.0,35961.0,12000,223.1,0.4,7.5,-23961.0,69.1
v091,heavy-truck,0,113.0,276834.0,20105.0,20000,81.7,0.57,5.0,-105.0,78.2
v092,mini-truck,1,25.0,169244.0,23975.0,12000,225.7,0.78,7.5,-11975.0,87.4
v093,mini-truck,1,17.0,101481.0,12057.0,12000,199.0,0.57,7.5,-57.0,95.1
v094,delivery-van,3,89.0,495511.0,10007.0,10000,185.6,0.66,12.0,-7.0,88.1
v095,mini-truck,1,89.0,703471.0,35948.0,12000,263.5,0.94,7.5,-23948.0,60.1
v096,heavy-truck,0,77.0,434665.0,59935.0,20000,188.2,0.44,5.0,-39935.0,53.0
v097,tempo,2,8.0,37520.0,8057.0,8000,156.3,0.52,14.0,-57.0,92.7
v098,heavy-truck,0,56.0,346014.0,19990.0,20000,206.0,0.91,5.0,10.0,79.1
v099,tempo,2,47.0,76061.0,8001.0,8000,53.9,0.42,14.0,-1.0,90.6
v100,delivery-van,3,72.0,230831.0,10083.0,10000,106.9,0.64,12.0,-83.0,79.9
v101,mini-truck,1,125.0,1178245.0,23952.0,12000,314.2,0.87,7.5,-11952.0,63.7
v102,tempo,2,114.0,499402.0,23955.0,8000,146.0,0.79,14.0,-15955.0,78.2
v103,mini-truck,1,76.0,271442.0,35966.0,12000,119.1,0.62,7.5,-23966.0,67.2
v104,tempo,2,83.0,164831.0,7990.0,8000,66.2,0.37,14.0,10.0,79.5
v105,delivery-van,3,124.0,473592.0,10050.0,10000,127.3,0.59,12.0,-50.0,87.3
v106,mini-truck,1,111.0,853260.0,12008.0,12000,256.2,0.65,7.5,-8.0,72.9
v107,tempo,2,13.0,28407.0,23938.0,8000,72.8,0.81,14.0,-15938.0,84.9
v108,delivery-van,3,104.0,431686.0,29903.0,10000,138.4,0.48,12.0,-19903.0,71.5
v109,mini-truck,1,84.0,301514.0,23973.0,12000,119.6,0.53,7.5,-11973.0,75.5
v110,heavy-truck,0,100.0,414025.0,39953.0,20000,138.0,0.9,5.0,-19953.0,64.5
v111,tempo,2,87.0,155407.0,23940.0,8000,59.5,0.42,14.0,-15940.0,72.0
v112,delivery-van,3,9.0,34289.0,9997.0,10000,127.0,0.7,12.0,3.0,95.9
v113,heavy-truck,0,15.0,116380.0,59993.0,20000,258.6,0.39,5.0,-39993.0,69.5
v114,tempo,2,17.0,48241.0,24007.0,8000,94.6,0.63,14.0,-16007.0,86.3
v115,delivery-van,3,74.0,126249.0,10029.0,10000,56.9,0.38,12.0,-29.0,88.4
v116,tempo,2,104.0,118670.0,15961.0,8000,38.0,0.68,14.0,-7961.0,80.7
v117,tempo,2,15.0,45859.0,15936.0,8000,101.9,0.75,14.0,-7936.0,85.1
v118,heavy-truck,0,76.0,438293.0,59993.0,20000,192.2,0.64,5.0,-39993.0,60.7
v119,tempo,2,102.0,85702.0,15980.0,8000,28.0,0.53,14.0,-7980.0,80.0
